TABLE_NAME;COLUMN_NAME;DATA_TYPE
AB_BANDEIRA_SECAO;COD_BANDEIRA;NUMBER
AB_BANDEIRA_SECAO;COD_SECAO;VARCHAR2
AB_BANDEIRA_SECAO;USUARIO;VARCHAR2
AB_BANDEIRA_SECAO;DT_ATUALIZACAO;DATE
AB_BANDEIRA_SECAO;NOME_SECAO;VARCHAR2
ABECEDARIO;LETRA;VARCHAR2
ABECEDARIO;VALOR_FAIXA;NUMBER
ACCT_ADDRS;STREET;VARCHAR2
ACCT_ADDRS;SSN;NUMBER
ACCT_ADDRS;ZIP;VARCHAR2
ACCT_ADDRS;STATE;VARCHAR2
ACCT_ADDRS;CITY;VARCHAR2
ACCTS;SALUT;VARCHAR2
ACCTS;LASTNAME;VARCHAR2
ACCTS;SSN;NUMBER
ACCTS;MI;VARCHAR2
ACCTS;FIRSTNAME;VARCHAR2
ACCTS;INV_ADVISER;VARCHAR2
ACCTS;PCT_VESTED;NUMBER
ACCTS;PCT_DEFERRAL;NUMBER
ACESSO_SSO;SEQ;VARCHAR2
ACESSO_SSO;USUARIO;VARCHAR2
ACIDENTE_TIPO;USUARIO;VARCHAR2
ACIDENTE_TIPO;DESCRICAO;VARCHAR2
ACIDENTE_TIPO;DT_ATUALIZACAO;DATE
ACIDENTE_TIPO;COD_ACIDENTE_TIPO;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;DT_ATUALIZACAO;DATE
ACID_TESTEMUNHA_EXTERNA;USUARIO;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;DEPOIMENTO_TESTEMUNHA;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;TELEFONE;NUMBER
ACID_TESTEMUNHA_EXTERNA;COMPLEMENTO_CEP;NUMBER
ACID_TESTEMUNHA_EXTERNA;CEP;NUMBER
ACID_TESTEMUNHA_EXTERNA;UF;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;CIDADE;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;BAIRRO;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;COMPLEMENTO;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;NUMERO;NUMBER
ACID_TESTEMUNHA_EXTERNA;ENDERECO;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;NOME;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;COD_EMPRESA;NUMBER
ACID_TESTEMUNHA_EXTERNA;COD_ANALISE_ACIDENTE;VARCHAR2
ACID_TESTEMUNHA_EXTERNA;DDD;VARCHAR2
ACM_VF1;DATA_RETENCAO;DATE
ACM_VF1;DATA_REF;DATE
ACM_VF1;NOME;VARCHAR2
ACM_VF1;DC_MATRICULA;NUMBER
ACM_VF1;MATRICULA;NUMBER
ACM_VF1;COD_EMPRESA;NUMBER
ACM_V01;DATA_REF;DATE
ACM_V01;COD_EMPRESA;NUMBER
ACM_V01;COD_OCORR;NUMBER
ACM_V01;NOME;VARCHAR2
ACM_V01;DATA_RETENCAO;DATE
ACM_V01;DC_OCORR;NUMBER
ADIANT_RODRIGO1;FAIXA;NUMBER
ADIANT_RODRIGO1;VALOR;NUMBER
ADIANT_RODRIGO1;MIN_FERIAS;NUMBER
ADIANT_RODRIGO1;DT_INIC_VAL;DATE
ADIANT_RODRIGO1;DT_FIN_VAL;DATE
ADIANT_RODRIGO1;USUARIO;VARCHAR2
ADIANT_RODRIGO1;DT_ULT_ATLZ;DATE
ADIANT_RODRIGO1;DATA_RETENCAO;DATE
ADIANT_RODRIGO1;CD_NIVEL;NUMBER
